trial_path,method,temp_set,query_per_class,seq_len,lr,val_accuracy,iteration
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00009_9_lr=0.0010,query_per_class=4,temp_set=2_2024-06-12_00-00-41",resnet18,[2],4,11,0.001,84.000000923872,6800
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00001_1_lr=0.0001,query_per_class=1,temp_set=2_2024-06-16_19-58-38",resnet34,[2],1,11,0.0001,84.00000086426735,9500
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00006_6_lr=0.0010,query_per_class=3,temp_set=2_2024-06-12_00-00-41",resnet18,[2],3,12,0.001,82.6000010073185,8400
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00006_6_lr=0.0010,query_per_class=3,temp_set=2_2024-06-16_19-58-38",resnet34,[2],3,8,0.001,81.00000105798244,3600
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00018_18_lr=0.0010,query_per_class=3,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",3,8,0.001,81.00000089406967,7200
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00021_21_lr=0.0010,query_per_class=4,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",4,7,0.001,80.40000085532665,7500
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00027_27_lr=0.0010,query_per_class=5,temp_set=2_3_2024-06-12_00-00-41",resnet18,"[2, 3]",5,9,0.001,79.80000108480453,2000
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00003_3_lr=0.0010,query_per_class=2,temp_set=2_2024-06-12_00-00-41",resnet18,[2],2,14,0.001,79.80000105500221,6000
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00009_9_lr=0.0010,query_per_class=4,temp_set=2_2024-06-16_19-58-38",resnet34,[2],4,7,0.001,79.60000106692314,7300
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00003_3_lr=0.0010,query_per_class=2,temp_set=2_2024-06-16_19-58-38",resnet34,[2],2,10,0.001,78.60000099241734,3700
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00012_12_lr=0.0010,query_per_class=5,temp_set=2_2024-06-12_00-00-41",resnet18,[2],5,10,0.001,78.60000093281269,2500
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00018_18_lr=0.0010,query_per_class=2,temp_set=2_3_2024-06-12_00-00-41",resnet18,"[2, 3]",2,12,0.001,78.2000010162592,3600
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00000_0_lr=0.0010,query_per_class=1,temp_set=2_2024-06-12_00-00-41",resnet18,[2],1,17,0.001,77.40000119805336,7900
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00024_24_lr=0.0010,query_per_class=4,temp_set=2_3_2024-06-12_00-00-41",resnet18,"[2, 3]",4,10,0.001,77.20000120997429,2600
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00012_12_lr=0.0010,query_per_class=1,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",1,11,0.001,77.20000104606152,9200
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-12_00-00-36/tune_with_parameters_0b53e_00015_15_lr=0.0010,query_per_class=1,temp_set=2_3_2024-06-12_00-00-41",resnet18,"[2, 3]",1,14,0.001,73.60000120103359,9100
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00015_15_lr=0.0010,query_per_class=2,temp_set=2_3_2024-06-16_19-58-38",resnet34,"[2, 3]",2,9,0.001,73.40000116825104,7400
"/media/robert/Volume/Forschungsarbeit_Robert_Asmussen/05_Data/TRX/hyperparameter_Tuning2/tune_with_parameters_2024-06-16_19-58-26/tune_with_parameters_0e38d_00000_0_lr=0.0010,query_per_class=1,temp_set=2_2024-06-16_19-58-38",resnet34,[2],1,11,0.001,73.20000126957893,3400
