[2024-04-06 22:18:31] Options: Namespace(dataset='sp', learning_rate=0.001, tasks_per_batch=16, checkpoint_dir='checkpoint', test_model_path=None, training_iterations=100020, resume_from_checkpoint=False, way=5, shot=5, query_per_class=2, query_per_class_test=1, test_iters=[75000], num_test_tasks=10000, print_freq=10, seq_len=8, num_workers=4, method='resnet18', trans_linear_out_dim=1152, opt='sgd', trans_dropout=0.1, save_freq=5000, img_size=224, temp_set=[2], scratch='', num_gpus=1, debug_loader=False, split=1, sch=[1000000], trans_linear_in_dim=512, traintestlist='video_datasets\\splits\\surgicalphasev1TrainTestlist', path='video_datasets\\data\\surgicalphasev1_Xx256')

[2024-04-06 22:18:31] Checkpoint Directory: checkpoint

[2024-04-07 05:34:43] Task [990/100020], Train Loss: 0.1612651, Train Accuracy: 0.9500000
[2024-04-07 05:38:56] Task [1000/100020], Train Loss: 0.1145018, Train Accuracy: 0.9200001
[2024-04-07 05:43:08] Task [1010/100020], Train Loss: 0.2242052, Train Accuracy: 0.9000000
[2024-04-07 05:47:21] Task [1020/100020], Train Loss: 0.1442219, Train Accuracy: 0.9400001
[2024-04-07 05:51:32] Task [1030/100020], Train Loss: 0.2503636, Train Accuracy: 0.9200000
[2024-04-07 05:55:46] Task [1040/100020], Train Loss: 0.1013330, Train Accuracy: 0.9600000
[2024-04-07 05:59:57] Task [1050/100020], Train Loss: 0.0352886, Train Accuracy: 0.9800000
[2024-04-07 06:04:08] Task [1060/100020], Train Loss: 0.3454402, Train Accuracy: 0.9000000
[2024-04-07 06:08:21] Task [1070/100020], Train Loss: 0.0507044, Train Accuracy: 0.9600000
[2024-04-07 06:12:36] Task [1080/100020], Train Loss: 0.1091152, Train Accuracy: 0.9600000
[2024-04-07 06:16:53] Task [1090/100020], Train Loss: 0.2666033, Train Accuracy: 0.9200001
[2024-04-07 06:21:10] Task [1100/100020], Train Loss: 0.0325051, Train Accuracy: 0.9899999
[2024-04-07 06:25:24] Task [1110/100020], Train Loss: 0.1042227, Train Accuracy: 0.9700000
[2024-04-07 06:29:36] Task [1120/100020], Train Loss: 0.2164735, Train Accuracy: 0.9500000
[2024-04-07 06:33:49] Task [1130/100020], Train Loss: 0.1054100, Train Accuracy: 0.9700001
[2024-04-07 06:38:05] Task [1140/100020], Train Loss: 0.2014761, Train Accuracy: 0.9600000
[2024-04-07 06:42:23] Task [1150/100020], Train Loss: 0.1251000, Train Accuracy: 0.9400001
